epoch,q_loss,p_loss,rewards
88,4.253760545969009,-35.514324424743656,[{'rewards': np.float64(40.771895640432184)}]
89,4.210414294242859,-35.50011929702759,[{'rewards': np.float64(31.97153344763965)}]
90,4.176831830620766,-35.485091819763184,[{'rewards': np.float64(45.27913296321467)}]
91,5.550429136753082,-39.47977060317993,[{'rewards': np.float64(32.76277245392686)}]
92,5.1407368395328525,-39.60297249603271,[{'rewards': np.float64(40.63991877738621)}]
93,5.07192013502121,-39.58995380401611,[{'rewards': np.float64(44.0661265042917)}]
94,5.022553413629532,-39.57324782943726,[{'rewards': np.float64(47.12861619825264)}]
95,4.983561688899994,-39.55699146652222,[{'rewards': np.float64(29.036009192538202)}]
96,6.5820391936302185,-43.81104358673096,[{'rewards': np.float64(16.993797612693864)}]
97,6.099951462984085,-43.947793601989744,[{'rewards': np.float64(19.83307594087373)}]
98,5.9916860866546635,-43.95028051376343,[{'rewards': np.float64(21.34920776175794)}]
99,5.9305977313518525,-43.93586169433594,[{'rewards': np.float64(10.196576451100618)}]
100,5.885765715122223,-43.920589527130126,[{'rewards': np.float64(-0.5800361516010369)}]
101,7.699992644309997,-48.46425030517578,[{'rewards': np.float64(-7.340465169983352)}]
102,7.15676434469223,-48.606872982025145,[{'rewards': np.float64(31.50378797970893)}]
103,7.072147211551666,-48.59256489944458,[{'rewards': np.float64(11.206729726154643)}]
104,7.011545840740204,-48.573677074432375,[{'rewards': np.float64(41.98246337115271)}]
105,6.962805000305176,-48.55678495407105,[{'rewards': np.float64(45.08019092879096)}]
106,9.078218596935272,-53.38866646194458,[{'rewards': np.float64(29.39170216264499)}]
107,8.454622660160064,-53.54518055725098,[{'rewards': np.float64(12.20796116466473)}]
108,8.35935859966278,-53.53765591049194,[{'rewards': np.float64(4.937778462387357)}]
109,8.28878897547722,-53.51993083190918,[{'rewards': np.float64(42.845424473759365)}]
110,8.233250573158264,-53.501939067840574,[{'rewards': np.float64(11.598628614669954)}]
111,10.693208510875701,-58.659405815124515,[{'rewards': np.float64(48.55730097117439)}]
112,9.960293711662292,-58.82847580718994,[{'rewards': np.float64(-3.0094807627476325)}]
113,9.838785492420197,-58.817009307861326,[{'rewards': np.float64(16.79618311706874)}]
114,9.733952086448669,-58.81577328491211,[{'rewards': np.float64(44.57020439877477)}]
115,9.680904702663423,-58.80712802124023,[{'rewards': np.float64(23.848818940192388)}]
116,12.492491101741791,-64.33479562759399,[{'rewards': np.float64(44.590406732849665)}]
117,11.645934597492218,-64.517792137146,[{'rewards': np.float64(43.72028486376732)}]
118,11.49714829683304,-64.50602090454102,[{'rewards': np.float64(42.99135426294674)}]
119,11.400388936042786,-64.49065565490723,[{'rewards': np.float64(44.448699624527904)}]
120,11.323975171089172,-64.47263497161865,[{'rewards': np.float64(45.90077567272363)}]
121,14.49310093164444,-70.3536343421936,[{'rewards': np.float64(42.05162170644143)}]
122,13.490175540447234,-70.54331665039062,[{'rewards': np.float64(43.3930201909774)}]
123,13.33342754459381,-70.52550370025635,[{'rewards': np.float64(38.22802931226219)}]
124,13.224338743686676,-70.50627539825439,[{'rewards': np.float64(34.46980498000044)}]
125,13.136420551776887,-70.48964738464356,[{'rewards': np.float64(44.807814312591496)}]
126,16.8133144030571,-76.72952824401855,[{'rewards': np.float64(43.96335144812937)}]
127,15.727192903995514,-76.93881685638428,[{'rewards': np.float64(45.548424731175906)}]
128,15.576615489006043,-76.92124359893799,[{'rewards': np.float64(44.15190897717408)}]
129,15.456155747890472,-76.89904013824463,[{'rewards': np.float64(42.38368123493976)}]
130,15.351888093948364,-76.87886520385742,[{'rewards': np.float64(39.46821398749266)}]
131,19.549036192417145,-83.50138957214355,[{'rewards': np.float64(40.41774351974815)}]
132,18.21885886669159,-83.71924745941162,[{'rewards': np.float64(47.622694615909644)}]
133,18.021259412765502,-83.70088722229004,[{'rewards': np.float64(43.2398026907738)}]
134,17.891669105529786,-83.67780060577392,[{'rewards': np.float64(43.93108216286422)}]
135,17.790129899978638,-83.65651587677002,[{'rewards': np.float64(42.2609496971374)}]
136,22.69908846473694,-90.6657781982422,[{'rewards': np.float64(41.77352678495177)}]
137,21.146921934127807,-90.90190216064452,[{'rewards': np.float64(47.51165177748181)}]
138,20.887401814460755,-90.88645729827881,[{'rewards': np.float64(49.47413501744099)}]
139,20.743085515022276,-90.86541410064697,[{'rewards': np.float64(45.61081272421967)}]
140,20.616540769577025,-90.84416625976563,[{'rewards': np.float64(45.43927178940898)}]
141,26.21809300994873,-98.26842292022705,[{'rewards': np.float64(46.52995790411094)}]
142,24.42762327480316,-98.50791018676757,[{'rewards': np.float64(44.653973911243874)}]
143,24.158701307296752,-98.48547805023193,[{'rewards': np.float64(42.33977673794736)}]
144,24.011296612739564,-98.46770513153076,[{'rewards': np.float64(38.06433971899955)}]
145,23.926443343162536,-98.44657893371583,[{'rewards': np.float64(41.12123897518219)}]
146,30.454678266525267,-106.32212117004394,[{'rewards': np.float64(43.81736195970208)}]
147,28.37057759189606,-106.59158759307861,[{'rewards': np.float64(46.92335342810047)}]
148,28.067108788490295,-106.57041382598877,[{'rewards': np.float64(44.38714769616191)}]
149,27.859206596374513,-106.5447650756836,[{'rewards': np.float64(44.67714078476514)}]
150,27.696838307380677,-106.52105113983154,[{'rewards': np.float64(42.26277027198872)}]
151,35.23365940856934,-114.82377536010742,[{'rewards': np.float64(41.80868985574308)}]
152,32.92232075595856,-115.08152912902833,[{'rewards': np.float64(49.358670952223356)}]
153,32.62253879642486,-115.0394354171753,[{'rewards': np.float64(48.16905064088006)}]
154,32.38977816963196,-115.00041802215576,[{'rewards': np.float64(45.620355885265475)}]
155,32.19429700088501,-114.96820016479492,[{'rewards': np.float64(42.65368555935204)}]
156,40.986650720596316,-123.66893807983398,[{'rewards': np.float64(41.88704349074091)}]
157,38.26722728347778,-123.93825659179687,[{'rewards': np.float64(45.65821609666609)}]
158,37.915478081703185,-123.90330574035644,[{'rewards': np.float64(38.50293038375143)}]
