s1,s2,s3,action,reward,ns1,ns2,ns3,done
-0.99394715,-0.109859385,-5.8667774,1.3412099823569519,-12.633766,-0.98432034,0.17639022,-5.7479906,0.0
-0.98432034,0.17639022,-5.7479906,-0.7168797401130567,-12.091378,-0.8945024,0.44706318,-5.72323,0.0
-0.8945024,0.44706318,-5.72323,-1.253925958400583,-10.449399,-0.73692894,0.67597026,-5.576021,0.0
-0.73692894,0.67597026,-5.576021,-1.8368994337809443,-8.869274,-0.5322761,0.84657085,-5.3445787,0.0
-0.5322761,0.84657085,-5.3445787,0.36357177275296726,-7.402363,-0.32265308,0.9465173,-4.6551147,0.0
-0.32265308,0.9465173,-4.6551147,0.7102574473691297,-5.7749586,-0.13617235,0.99068516,-3.8386881,0.0
-0.13617235,0.99068516,-3.8386881,-1.9336486842885754,-4.3924828,0.032683507,0.99946576,-3.3857214,0.0
0.032683507,0.99946576,-3.3857214,0.048372233197123915,-3.5120864,0.1633967,0.98656046,-2.6288664,0.0
0.1633967,0.98656046,-2.6288664,-1.0940168992082482,-2.6709933,0.2636316,0.96462345,-2.0530486,0.0
0.2636316,0.96462345,-2.0530486,0.5806911616377994,-2.1222835,0.32301065,0.94639534,-1.2424773,0.0
0.32301065,0.94639534,-1.2424773,-1.3025342839800342,-1.6983559,0.3572407,0.93401235,-0.72806096,0.0
0.3572407,0.93401235,-0.72806096,0.7637509524098638,-1.5067831,0.35317388,0.9355577,0.08701092,0.0
0.35317388,0.9355577,0.08701092,-0.45305861479785037,-1.4646628,0.31923813,0.9476745,0.7207204,0.0
0.31923813,0.9476745,0.7207204,1.746919954946938,-1.6071898,0.23794517,0.9712786,1.6935143,0.0
0.23794517,0.9712786,1.6935143,-1.449916223416027,-2.0592556,0.12965935,0.9915586,2.204486,0.0
0.12965935,0.9915586,2.204486,-0.635734595798966,-2.5622008,-0.012613971,0.9999204,2.8527946,0.0
-0.012613971,0.9999204,2.8527946,-1.5461059150376437,-3.3234234,-0.18016605,0.9836362,3.370819,0.0
-0.18016605,0.9836362,3.370819,1.6987744731142511,-4.208462,-0.38879505,0.92132425,4.3633623,0.0
-0.38879505,0.92132425,4.3633623,1.509357413523924,-5.787543,-0.6157688,0.7879269,5.2807593,0.0
-0.6157688,0.7879269,5.2807593,-0.9682334891393776,-7.7810397,-0.8132321,0.58193946,5.7264695,0.0
-0.8132321,0.58193946,5.7264695,0.6399361841367162,-9.63248,-0.9528915,0.30331138,6.2589145,0.0
-0.9528915,0.30331138,6.2589145,1.2688888008048633,-11.947319,-0.9996705,-0.025667923,6.676731,0.0
-0.9996705,-0.025667923,6.676731,0.22080324639784932,-14.166892,-0.93582606,-0.35246214,6.690601,0.0
-0.93582606,-0.35246214,6.690601,0.11860231342402594,-12.212568,-0.7760595,-0.6306597,6.4440446,0.0
-0.7760595,-0.6306597,6.4440446,-1.0325908363981933,-10.201251,-0.5626479,-0.82669663,5.816161,0.0
-0.5626479,-0.82669663,5.816161,-1.6275889287764032,-8.0873,-0.34288397,-0.9393778,4.952,0.0
-0.34288397,-0.9393778,4.952,1.588863031813307,-6.144157,-0.12536472,-0.9921107,4.4857965,0.0
-0.12536472,-0.9921107,4.4857965,1.6016722286533218,-4.8928866,0.07333686,-0.99730724,3.981964,0.0
0.07333686,-0.99730724,3.981964,0.5324058290930718,-3.8280747,0.23682345,-0.9715527,3.3138447,0.0
0.23682345,-0.9715527,3.3138447,-0.6438808358051973,-2.8719997,0.35557097,-0.9346493,2.4885979,0.0
0.35557097,-0.9346493,2.4885979,-0.6031617015493564,-2.0771801,0.4335078,-0.9011498,1.6971368,0.0
0.4335078,-0.9011498,1.6971368,0.9038227154809575,-1.5486587,0.4848784,-0.8745816,1.1568477,0.0
0.4848784,-0.8745816,1.1568477,1.5884410398103084,-1.2696668,0.51686347,-0.85606784,0.7391777,0.0
0.51686347,-0.85606784,0.7391777,1.5483456970604692,-1.113025,0.53089124,-0.84743994,0.3293787,0.0
0.53089124,-0.84743994,0.3293787,1.1195021834304955,-1.0345153,0.5250196,-0.85109013,-0.13827595,1.0
0.9972427,0.074209176,0.90092736,0.568126584617151,-0.08700693,0.9920262,0.12603156,1.0418032,0.0
0.9920262,0.12603156,1.0418032,-1.6634401400198047,-0.12727122,0.9854647,0.16988027,0.8868109,0.0
